id,name,mobile no.,email address,age,gender,location,specially-abled,active-time,consumption habits,hygiene,condition,status,diet,noise tolerance,social preference,hobbies
44,adnan,6872446449,adnan356@gmail.com,44,male,bangalore,no,humming bird,both,deo defender,none,travelling,vegetarian,rock,extrovert,hiking
45,jyoti,7894944890,jyoti370@yahoo.com,64,female,patna,yes,night-owl,only drinks,forgotten toothbrush,none,working,vegetarian,quite,ambivert,reading
46,harsh,7972587297,harsh487@outlook.com,41,male,pune,no,night-owl,both,deo defender,none,travelling,vegetarian,rock,introvert,learning a new language
47,aarav,8400276418,aarav739@hotmail.com,37,male,kolkata,no,morning-time,only drinks,forgotten toothbrush,obesity,student,vegetarian,rock,introvert,gardening
48,anjum,6592164568,anjum410@gmail.com,49,female,hyderabad,no,humming bird,only drinks,deo defender,none,travelling,eggetarian,moderate,extrovert,playing a musical instrument
49,charan,9755811857,charan375@outlook.com,57,male,pune,no,morning-time,none,forgotten toothbrush,thyroid,travelling,vegetarian,quite,ambivert,cooking/baking
50,kabir,7317541956,kabir542@yahoo.com,26,male,mumbai,no,morning-time,only drinks,dr. sanitizer,none,working,vegetarian,moderate,introvert,video games
51,advika,8875250054,advika207@gmail.com,60,female,bangalore,no,morning-time,none,forgotten toothbrush,diabetes,student,vegetarian,rock,extrovert,cooking/baking
52,rakesh,7377038419,rakesh690@yahoo.com,53,male,pune,no,night-owl,both,deo defender,none,student,vegetarian,moderate,introvert,photography
53,prateek,9323207606,prateek793@yahoo.com,18,male,chennai,no,humming bird,none,deo defender,none,travelling,non-vegetarian,quite,extrovert,playing a musical instrument
54,aditya,6024691574,aditya167@hotmail.com,27,male,bangalore,no,night-owl,both,forgotten toothbrush,none,working,vegetarian,moderate,introvert,cooking/baking
55,saanvi,9565634476,saanvi147@gmail.com,37,female,chennai,no,morning-time,both,deo defender,none,student,vegetarian,moderate,ambivert,learning a new language
56,rajan,7709524034,rajan969@outlook.com,30,male,jaipur,no,humming bird,none,deo defender,none,student,vegetarian,quite,extrovert,cooking/baking
57,meenakshi,7885873791,meenakshi215@outlook.com,53,others,pune,no,humming bird,only drinks,forgotten toothbrush,diabetes,working,vegetarian,moderate,ambivert,painting
58,gurpreet,7222950563,gurpreet543@hotmail.com,37,male,patna,no,morning-time,only smokes,forgotten toothbrush,none,student,vegetarian,rock,introvert,cooking/baking
59,mandeep,6023227527,mandeep786@outlook.com,39,male,kolkata,no,humming bird,only smokes,forgotten toothbrush,none,travelling,vegetarian,moderate,ambivert,reading
60,urvashi,6489892240,urvashi875@gmail.com,18,female,bangalore,yes,morning-time,both,dr. sanitizer,none,working,vegetarian,quite,introvert,reading
61,tejas,6782692024,tejas781@gmail.com,30,male,delhi,no,humming bird,only drinks,dr. sanitizer,asthma,travelling,vegetarian,rock,extrovert,learning a new language
62,prem,6559319024,prem828@hotmail.com,54,male,chennai,no,morning-time,both,dr. sanitizer,none,travelling,vegetarian,quite,ambivert,learning a new language
63,bimla,8749091806,bimla761@gmail.com,63,female,patna,no,morning-time,none,dr. sanitizer,obesity,working,vegetarian,rock,extrovert,hiking
64,usha,6006735203,usha244@outlook.com,34,female,kolkata,no,humming bird,only smokes,deo defender,none,working,non-vegetarian,rock,extrovert,reading
65,swati,7989230581,swati259@outlook.com,28,female,delhi,no,morning-time,both,forgotten toothbrush,none,travelling,vegetarian,rock,ambivert,learning a new language
66,vijay,6848136305,vijay203@outlook.com,34,male,bangalore,no,humming bird,none,forgotten toothbrush,none,student,vegan,quite,introvert,writing
67,seema,7498956188,seema254@hotmail.com,34,female,pune,no,humming bird,only drinks,deo defender,migraine,working,vegetarian,moderate,extrovert,cooking/baking
68,meera,7578241748,meera799@outlook.com,57,female,hyderabad,no,humming bird,none,dr. sanitizer,migraine,student,vegetarian,quite,extrovert,gardening
69,sushma,9244607358,sushma140@outlook.com,38,female,jaipur,no,night-owl,only drinks,forgotten toothbrush,none,travelling,vegetarian,moderate,introvert,writing
70,mahendra,7326087632,mahendra996@hotmail.com,60,male,pune,no,humming bird,only smokes,forgotten toothbrush,none,working,vegetarian,quite,extrovert,playing a musical instrument
71,muskan,9527132515,muskan399@gmail.com,40,female,kolkata,no,morning-time,both,dr. sanitizer,none,travelling,vegetarian,quite,introvert,writing
72,lata,7876943471,lata861@yahoo.com,45,female,chennai,no,morning-time,none,forgotten toothbrush,none,working,vegan,moderate,ambivert,learning a new language
73,pankaj,8397587096,pankaj15@hotmail.com,32,male,delhi,no,morning-time,none,forgotten toothbrush,none,student,vegetarian,rock,ambivert,learning a new language
74,arun,7846001638,arun788@hotmail.com,64,male,delhi,no,morning-time,both,dr. sanitizer,diabetes,student,vegetarian,quite,ambivert,photography
75,farhan,7750487987,farhan419@outlook.com,25,male,mumbai,no,morning-time,both,dr. sanitizer,none,working,vegetarian,rock,ambivert,hiking
76,rohan,6324720655,rohan556@hotmail.com,55,male,kolkata,no,morning-time,both,deo defender,none,travelling,vegetarian,quite,extrovert,reading
77,ankit,9931672955,ankit873@hotmail.com,19,male,pune,no,humming bird,none,dr. sanitizer,alzheimer’s,student,vegetarian,rock,ambivert,learning a new language
78,saurabh,9338622217,saurabh848@gmail.com,53,male,patna,no,morning-time,only drinks,deo defender,none,student,vegetarian,moderate,introvert,writing
79,divya,6625018818,divya125@gmail.com,46,female,kolkata,no,morning-time,only smokes,forgotten toothbrush,none,travelling,vegetarian,moderate,introvert,photography
80,komal,7619727920,komal588@yahoo.com,21,female,bangalore,no,night-owl,only smokes,dr. sanitizer,none,student,vegetarian,quite,ambivert,cooking/baking
81,saurabh,9912526678,saurabh246@outlook.com,39,male,mumbai,no,humming bird,only smokes,forgotten toothbrush,none,student,vegetarian,moderate,introvert,video games
82,pushpa,8981655759,pushpa124@yahoo.com,45,female,delhi,yes,humming bird,only smokes,forgotten toothbrush,none,travelling,eggetarian,rock,introvert,reading
83,bimla,8571867058,bimla824@outlook.com,21,others,delhi,no,morning-time,none,dr. sanitizer,none,student,vegetarian,rock,introvert,cooking/baking
84,gaurav,8181070264,gaurav133@hotmail.com,48,male,bangalore,no,night-owl,only drinks,deo defender,none,working,vegetarian,rock,extrovert,painting
85,usha,6911622063,usha135@hotmail.com,58,female,kolkata,no,humming bird,both,forgotten toothbrush,none,working,vegetarian,moderate,introvert,writing
86,reshma,8641425798,reshma26@outlook.com,50,female,chennai,no,humming bird,none,dr. sanitizer,thyroid,travelling,vegetarian,quite,introvert,painting
87,shruti,7884971530,shruti29@hotmail.com,57,female,mumbai,no,night-owl,only smokes,dr. sanitizer,none,student,vegetarian,rock,ambivert,writing
88,pallavi,9815318980,pallavi11@yahoo.com,23,female,ahmedabad,no,night-owl,none,dr. sanitizer,none,working,eggetarian,moderate,extrovert,writing
89,afreen,8458597722,afreen648@gmail.com,38,female,patna,yes,humming bird,none,forgotten toothbrush,none,student,vegetarian,quite,introvert,writing
90,lavina,9787777142,lavina133@yahoo.com,26,female,ahmedabad,no,night-owl,only drinks,deo defender,obesity,student,vegetarian,rock,extrovert,cooking/baking
91,rehman,7772978728,rehman236@yahoo.com,22,male,pune,no,night-owl,only drinks,forgotten toothbrush,diabetes,working,non-vegetarian,quite,introvert,painting
92,dinesh,9597306387,dinesh701@hotmail.com,29,male,kolkata,no,night-owl,both,forgotten toothbrush,none,travelling,vegetarian,moderate,ambivert,hiking
93,mohit,6185898273,mohit686@hotmail.com,27,male,mumbai,no,morning-time,only smokes,dr. sanitizer,none,travelling,vegetarian,quite,ambivert,hiking
94,anjum,8629982033,anjum256@gmail.com,30,female,ahmedabad,no,night-owl,both,forgotten toothbrush,none,student,vegetarian,rock,introvert,hiking
95,deepak,6286526890,deepak738@outlook.com,49,male,bangalore,yes,night-owl,only drinks,deo defender,diabetes,working,eggetarian,moderate,extrovert,cooking/baking
96,varsha,6337771827,varsha553@outlook.com,58,female,kolkata,no,humming bird,only drinks,deo defender,none,working,vegetarian,quite,extrovert,hiking
97,afreen,7291760458,afreen469@hotmail.com,47,female,bangalore,no,night-owl,only smokes,dr. sanitizer,none,student,vegetarian,rock,introvert,painting
98,puneet,8238937466,puneet665@gmail.com,45,male,chennai,no,humming bird,only smokes,deo defender,none,working,vegetarian,rock,introvert,photography
99,prerna,7665718019,prerna892@hotmail.com,33,female,ahmedabad,no,morning-time,only drinks,forgotten toothbrush,none,travelling,vegetarian,moderate,ambivert,learning a new language
100,prateek,6651627953,prateek430@gmail.com,30,others,kolkata,no,morning-time,only smokes,forgotten toothbrush,none,travelling,vegetarian,moderate,extrovert,painting
101,ashwin,7487972138,ashwin278@gmail.com,60,male,delhi,no,morning-time,only smokes,dr. sanitizer,obesity,student,vegan,rock,ambivert,playing a musical instrument
102,hema,8059377854,hema328@yahoo.com,49,others,chennai,no,night-owl,both,forgotten toothbrush,none,working,vegan,quite,extrovert,writing
103,anjali,9532394173,anjali859@gmail.com,17,female,hyderabad,no,morning-time,only drinks,deo defender,thyroid,working,vegan,rock,introvert,gardening
104,deepak,8599649811,deepak752@hotmail.com,32,male,patna,no,night-owl,none,dr. sanitizer,asthma,student,vegetarian,quite,ambivert,hiking
105,varun,9455490496,varun195@hotmail.com,64,male,bangalore,no,humming bird,none,forgotten toothbrush,none,working,vegetarian,quite,introvert,gardening
106,ankit,8325914397,ankit691@gmail.com,40,male,mumbai,no,night-owl,both,deo defender,none,working,vegetarian,rock,extrovert,gardening
107,pallavi,8818962889,pallavi47@gmail.com,59,female,jaipur,no,humming bird,both,dr. sanitizer,none,student,vegetarian,moderate,introvert,photography
108,komal,8589121555,komal366@outlook.com,26,female,delhi,no,night-owl,both,deo defender,obesity,travelling,vegetarian,quite,extrovert,video games
109,gurpreet,7538256621,gurpreet559@hotmail.com,33,male,patna,no,morning-time,none,deo defender,none,student,vegan,moderate,ambivert,writing
110,diya,8159060757,diya650@outlook.com,48,female,chennai,no,morning-time,only drinks,dr. sanitizer,migraine,student,vegetarian,rock,introvert,cooking/baking
111,prem,8768756748,prem823@gmail.com,34,male,patna,no,morning-time,none,deo defender,none,working,vegetarian,rock,introvert,playing a musical instrument
112,sukhmeet,6023391147,sukhmeet148@hotmail.com,38,male,ahmedabad,no,night-owl,only drinks,dr. sanitizer,none,student,vegan,rock,introvert,cooking/baking
113,dinesh,7580937795,dinesh794@gmail.com,51,male,patna,no,morning-time,only drinks,deo defender,none,student,vegan,quite,introvert,writing
114,mandeep,9801834579,mandeep725@yahoo.com,21,male,hyderabad,no,humming bird,none,forgotten toothbrush,none,travelling,vegetarian,rock,introvert,writing
115,neha,6656907288,neha10@gmail.com,55,female,bangalore,no,morning-time,only drinks,deo defender,none,student,vegetarian,rock,introvert,photography
116,mahesh,8184066766,mahesh425@yahoo.com,50,male,hyderabad,no,night-owl,none,deo defender,none,travelling,vegetarian,moderate,introvert,learning a new language
117,deepak,6108708030,deepak90@yahoo.com,57,male,chennai,no,humming bird,only drinks,forgotten toothbrush,none,working,vegetarian,quite,extrovert,writing
118,divya,9150513722,divya322@outlook.com,52,female,hyderabad,no,morning-time,none,deo defender,thyroid,working,vegetarian,quite,introvert,gardening
119,aarav,9850652647,aarav105@hotmail.com,32,male,jaipur,no,night-owl,only smokes,forgotten toothbrush,alzheimer’s,travelling,vegetarian,rock,introvert,painting
120,navya,9689909122,navya714@outlook.com,53,female,hyderabad,no,morning-time,none,dr. sanitizer,none,working,vegetarian,moderate,extrovert,playing a musical instrument
121,prateek,8752731649,prateek293@yahoo.com,28,male,hyderabad,no,humming bird,none,forgotten toothbrush,none,student,vegetarian,rock,ambivert,painting
122,priya,8925093632,priya385@yahoo.com,59,female,ahmedabad,no,humming bird,only smokes,forgotten toothbrush,obesity,travelling,vegetarian,moderate,introvert,photography
123,seema,8074370215,seema430@outlook.com,61,female,chennai,no,night-owl,none,forgotten toothbrush,none,working,vegetarian,rock,ambivert,writing
124,sneha,6908960811,sneha753@yahoo.com,37,female,pune,no,humming bird,only drinks,forgotten toothbrush,diabetes,working,vegetarian,rock,extrovert,reading
125,sonam,6726738527,sonam453@hotmail.com,44,female,jaipur,no,humming bird,only drinks,forgotten toothbrush,none,student,vegetarian,quite,ambivert,gardening
126,nida,6340024036,nida161@outlook.com,42,female,chennai,no,night-owl,both,dr. sanitizer,none,student,vegetarian,quite,extrovert,video games
127,tanvi,8597337842,tanvi997@gmail.com,20,female,mumbai,no,humming bird,only drinks,dr. sanitizer,thyroid,student,vegetarian,moderate,ambivert,playing a musical instrument
128,indu,9667568554,indu405@hotmail.com,45,female,chennai,yes,humming bird,only drinks,forgotten toothbrush,none,student,vegetarian,quite,extrovert,reading
129,abhishek,7464754269,abhishek213@yahoo.com,28,male,patna,no,morning-time,only smokes,dr. sanitizer,none,student,vegetarian,rock,introvert,hiking
130,mahendra,9915711784,mahendra289@hotmail.com,27,male,mumbai,no,morning-time,only drinks,deo defender,asthma,student,vegetarian,moderate,ambivert,reading
131,seema,9500163748,seema188@outlook.com,63,female,ahmedabad,no,morning-time,none,forgotten toothbrush,none,travelling,eggetarian,rock,introvert,cooking/baking
132,gurpreet,9739455819,gurpreet193@yahoo.com,35,male,chennai,no,night-owl,only drinks,deo defender,none,student,vegetarian,quite,ambivert,writing
133,savita,9855024733,savita173@gmail.com,45,female,mumbai,no,night-owl,only drinks,deo defender,none,travelling,vegetarian,rock,introvert,hiking
134,sana,8974700471,sana891@gmail.com,19,female,pune,no,night-owl,only drinks,dr. sanitizer,none,working,non-vegetarian,rock,introvert,photography
135,sandeep,6711226076,sandeep57@gmail.com,43,male,hyderabad,no,morning-time,both,forgotten toothbrush,none,travelling,vegetarian,quite,introvert,hiking
136,sejal,8601004040,sejal837@hotmail.com,39,female,ahmedabad,no,humming bird,only drinks,dr. sanitizer,none,student,vegetarian,rock,extrovert,reading
137,afreen,6633432067,afreen920@gmail.com,63,female,bangalore,no,night-owl,both,forgotten toothbrush,diabetes,travelling,eggetarian,rock,extrovert,cooking/baking
138,rekha,8649109756,rekha673@outlook.com,27,female,kolkata,no,night-owl,both,dr. sanitizer,diabetes,travelling,vegetarian,rock,ambivert,learning a new language
139,vivaan,7777091155,vivaan509@outlook.com,47,male,pune,no,night-owl,both,deo defender,none,travelling,vegetarian,rock,extrovert,playing a musical instrument
140,hema,6702112126,hema26@yahoo.com,46,female,kolkata,no,morning-time,only smokes,dr. sanitizer,none,working,vegetarian,quite,extrovert,writing
141,amit,9687706961,amit667@hotmail.com,47,male,chennai,no,night-owl,only smokes,forgotten toothbrush,none,travelling,vegetarian,rock,ambivert,video games
142,priya,8959793996,priya797@yahoo.com,54,female,patna,no,morning-time,none,forgotten toothbrush,none,travelling,vegetarian,rock,extrovert,playing a musical instrument
143,sukhmeet,7609705080,sukhmeet465@yahoo.com,54,male,mumbai,no,night-owl,only smokes,dr. sanitizer,asthma,travelling,vegetarian,rock,introvert,learning a new language
144,ramesh,6316871086,ramesh709@outlook.com,16,male,hyderabad,no,night-owl,both,dr. sanitizer,none,travelling,vegetarian,rock,ambivert,cooking/baking
145,neelam,9778629845,neelam87@gmail.com,61,female,hyderabad,no,night-owl,none,deo defender,none,student,vegetarian,moderate,introvert,hiking
146,harshit,6961981827,harshit371@outlook.com,18,male,kolkata,no,humming bird,only smokes,deo defender,none,travelling,vegetarian,rock,introvert,photography
147,sindhu,8927959334,sindhu738@outlook.com,51,female,hyderabad,no,night-owl,only smokes,dr. sanitizer,none,travelling,vegetarian,moderate,ambivert,video games
148,naveen,9545869051,naveen538@gmail.com,54,male,pune,no,humming bird,both,forgotten toothbrush,none,working,vegan,quite,extrovert,writing
149,shreya,7128457416,shreya671@yahoo.com,53,female,ahmedabad,no,night-owl,only drinks,dr. sanitizer,none,travelling,vegetarian,rock,extrovert,photography
150,mahendra,7850467801,mahendra844@gmail.com,33,male,jaipur,no,morning-time,none,deo defender,migraine,working,vegetarian,moderate,introvert,cooking/baking
151,deepak,9759590668,deepak72@outlook.com,22,male,mumbai,no,humming bird,none,deo defender,none,travelling,vegetarian,rock,extrovert,painting
152,abhishek,9500413249,abhishek135@hotmail.com,34,male,patna,no,night-owl,both,dr. sanitizer,none,working,vegetarian,moderate,introvert,learning a new language
153,dilip,7570610365,dilip739@outlook.com,39,male,ahmedabad,no,morning-time,only drinks,deo defender,none,working,vegan,quite,introvert,photography
154,pushpa,7088379304,pushpa408@outlook.com,26,female,chennai,no,morning-time,only smokes,forgotten toothbrush,none,travelling,vegetarian,quite,extrovert,hiking
155,anjali,7559890760,anjali614@outlook.com,26,female,kolkata,yes,morning-time,only drinks,forgotten toothbrush,asthma,student,vegan,moderate,extrovert,learning a new language
156,nirmala,6794148021,nirmala745@yahoo.com,32,female,patna,no,humming bird,both,deo defender,thyroid,travelling,vegetarian,quite,ambivert,writing
157,ravi,6743824504,ravi984@yahoo.com,41,male,bangalore,no,night-owl,none,dr. sanitizer,none,student,vegetarian,rock,introvert,hiking
158,prerna,6116714614,prerna447@hotmail.com,56,female,kolkata,no,humming bird,only drinks,forgotten toothbrush,asthma,student,non-vegetarian,rock,extrovert,video games
159,jaspreet,8659122299,jaspreet915@outlook.com,61,male,delhi,no,humming bird,none,deo defender,none,working,vegetarian,moderate,extrovert,photography
160,rajdeep,9621769318,rajdeep622@gmail.com,61,male,bangalore,no,morning-time,none,deo defender,none,working,vegetarian,rock,introvert,playing a musical instrument
161,pankaj,9189178454,pankaj940@outlook.com,19,male,mumbai,no,morning-time,none,deo defender,none,working,vegetarian,quite,extrovert,learning a new language
162,suresh,8138870758,suresh205@gmail.com,38,male,kolkata,no,morning-time,only drinks,deo defender,none,travelling,vegetarian,moderate,extrovert,photography
163,mahendra,8459199961,mahendra140@yahoo.com,31,male,mumbai,yes,night-owl,both,dr. sanitizer,none,working,vegetarian,rock,introvert,video games
164,ananya,6902007054,ananya6@outlook.com,49,others,hyderabad,no,morning-time,none,deo defender,none,travelling,vegetarian,quite,ambivert,writing
165,bala,6389211355,bala570@hotmail.com,48,male,delhi,no,morning-time,both,dr. sanitizer,none,travelling,vegetarian,moderate,introvert,learning a new language
166,keerthi,8392578622,keerthi997@outlook.com,42,female,chennai,no,night-owl,only smokes,forgotten toothbrush,thyroid,travelling,vegetarian,rock,introvert,photography
167,harpreet,7255747231,harpreet230@hotmail.com,63,male,kolkata,no,morning-time,only drinks,deo defender,diabetes,student,vegetarian,quite,extrovert,gardening
168,rehman,6326243731,rehman24@outlook.com,56,male,kolkata,yes,night-owl,only smokes,forgotten toothbrush,none,working,non-vegetarian,moderate,ambivert,gardening
169,vandana,6402748940,vandana84@outlook.com,56,others,ahmedabad,no,morning-time,only smokes,forgotten toothbrush,thyroid,working,vegetarian,moderate,introvert,reading
170,dinesh,6241202233,dinesh964@outlook.com,58,male,hyderabad,no,night-owl,none,dr. sanitizer,none,travelling,vegetarian,quite,ambivert,hiking
171,muskan,6841545485,muskan522@outlook.com,59,female,ahmedabad,no,night-owl,both,forgotten toothbrush,obesity,travelling,non-vegetarian,quite,introvert,reading
172,poornima,8734485425,poornima921@hotmail.com,48,female,patna,no,morning-time,only drinks,deo defender,none,travelling,vegetarian,moderate,extrovert,reading
173,baljeet,9026013623,baljeet977@hotmail.com,18,male,pune,no,night-owl,none,deo defender,none,travelling,vegetarian,quite,introvert,playing a musical instrument
174,sindhu,9969066560,sindhu414@hotmail.com,60,female,jaipur,yes,night-owl,only smokes,forgotten toothbrush,migraine,working,vegetarian,moderate,ambivert,reading
175,aditya,8201345598,aditya847@outlook.com,50,male,pune,no,morning-time,only smokes,deo defender,none,travelling,non-vegetarian,moderate,ambivert,painting
176,geetha,7003119619,geetha641@yahoo.com,46,female,patna,no,morning-time,only drinks,forgotten toothbrush,asthma,student,vegetarian,rock,introvert,writing
177,kiran,8639476136,kiran361@gmail.com,26,male,mumbai,no,humming bird,both,dr. sanitizer,obesity,student,vegan,rock,ambivert,gardening
178,ravi,7108757803,ravi549@hotmail.com,43,male,mumbai,yes,humming bird,none,dr. sanitizer,none,working,vegetarian,rock,ambivert,learning a new language
179,savita,9577681726,savita792@hotmail.com,44,female,patna,no,morning-time,only drinks,dr. sanitizer,none,working,vegetarian,rock,extrovert,painting
180,abhishek,8773820895,abhishek446@hotmail.com,46,male,pune,no,humming bird,none,forgotten toothbrush,none,student,vegetarian,quite,extrovert,gardening
181,sachin,6103199099,sachin316@hotmail.com,25,male,patna,no,morning-time,only drinks,dr. sanitizer,none,student,vegetarian,moderate,ambivert,gardening
182,arjun,7965650291,arjun633@yahoo.com,16,male,hyderabad,no,night-owl,none,deo defender,none,travelling,vegetarian,moderate,extrovert,gardening
183,saurabh,6871726793,saurabh593@gmail.com,57,male,delhi,no,humming bird,none,deo defender,none,travelling,vegetarian,moderate,introvert,painting
184,afreen,7968326185,afreen574@yahoo.com,64,female,bangalore,no,morning-time,both,forgotten toothbrush,none,student,vegan,rock,extrovert,video games
185,parul,7613001725,parul613@gmail.com,29,female,jaipur,no,morning-time,none,dr. sanitizer,none,working,vegetarian,quite,extrovert,playing a musical instrument
186,arvind,6356403234,arvind476@yahoo.com,31,male,patna,no,night-owl,only drinks,dr. sanitizer,none,working,non-vegetarian,moderate,ambivert,video games
187,harpreet,8784685552,harpreet407@gmail.com,20,male,chennai,no,night-owl,only drinks,deo defender,none,travelling,vegetarian,rock,extrovert,video games
